source_platform,app_id,country,review_id,review_title,review_text,rating,review_date,user_name,collected_at
Apple App Store,570060128,us,14072991086,Ninapenda Duolingo! ❤️,"I wrote that in Swahili from memory. Thanks to Duolingo, I’m able to communicate with other cultures and also teach my daughter about her culture as well. This app is one of the best things for this generation of learners, those who aim to think different and outside of the box. I’ve enjoyed the free version mostly but also have enjoyed the paid version and I would say, free or not free.. this is worth the time and investment! 

Learn on! 🫶🏾",5,2026-05-16 18:18:35-07:00,whoismamahaki,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072963946,Duolingo👌🏻🫪,"So when I downloaded it, it was kind of boring, but then I got into it and I looked for the start. I learned Hebrew then I started learning Korean and then we got to this whole thing and I’m learning with my dad and it’s so fun so it’s great and the only problem is you have to pay for it so you know it’s nice though That’s what I love about it so I’m gonna rate it one star cause you have to pay for it dude so",4,2026-05-16 18:07:49-07:00,Draw all you want,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072957679,Duolingo review,"I personally love Duo but it can be overwhelming and hard to keep up with. It’s is good for learning a new language, but the constant pressure and pestering on notifications or just in general when using the app is annoying. Also the adds are a bit strange and unnecessary, but overall, it is awesome.",4,2026-05-16 18:05:18-07:00,Why I don’t like Simply Draw,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072920532,Duolingo,Duolingo is teaching me so much on how to speak Spanish!!!,4,2026-05-16 17:50:12-07:00,Jackalopeis,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072893639,Duo,I’ve learned so much their are no adds and it’s the best learning experience I’ve ever had so try it,5,2026-05-16 17:39:20-07:00,"Ira Mendoza.,’",2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072882459,Almost feels like learning from a conman,Title says it all!,1,2026-05-16 17:34:43-07:00,Da BoJuju,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072881381,Love it,It’s really helping me with Korean and I’m American,5,2026-05-16 17:34:16-07:00,Squeaker 256im bot prob,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072842348,Yay,The app is good but there’s a problem. The problem is that my parents have a rule were during a school week I can’t use my tablet so I don’t want doulingo blowing my Tablet up with notifications and and it doesn’t let me delete the app,4,2026-05-16 17:18:19-07:00,Uhhhh15246,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072840677,Duo,I rate duo 4 stars because the learning is fun and realible but you can’t learn for a long time in the day without losing energy unless you get super witch costs money,4,2026-05-16 17:17:37-07:00,Simple lil,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072835654,Love it sooooo much! I learn so much from it at I know how to spell hombre Nino Nina pan Bebe bebo,Hi CD gf real call app too so ERP Rey sudirfludlydkysjtsgmgrmrykyfjskgsfgmsykyydydmhhhffydkydykskyskyeymydgdmxhhdykdetitiwitsktsitstkstisktsktsdkydkydykdydgkdkydykddlhdkydykgkygkdkgzgkdkgxgkdkgdgkdkgdgkdlglfhlyykdkdtdykylllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllliiiiiiiiiiiiiiii,5,2026-05-16 17:15:32-07:00,Emily Honduran girl,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072816753,Super helpful some cons though,"It is very helpful and easy to use, but there are a lot of ads trying to force you to get super Duolingo.",5,2026-05-16 17:07:43-07:00,Jesuslover✝️🩷,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072805828,My Review,Too many adds and I get pushed so much to upgrade it’s getting so annoying so I might switch apps,3,2026-05-16 17:03:18-07:00,Llllll bbq,2026-05-20T03:14:33.977405+00:00
